,candidature non officielle,candidature officielle,UE,,PPP,OTAN,ID,,,,
Allemagne,,,1957,,,1955,276,,,,
Belgique,,,1957,,,1949,056,,,,
France,,,1957,,,1949,250,,,,
Italie,,,1957,,,1949,380,,,,
Luxembourg,,,1957,,,1949,442,,,,
Albanie,2009,2014,,,,,008,,,,
Islande,2009,2010,,,,,352,,,,
Maroc,1987,rejet,,,,,504,,,,
Monténégro,2009,2010,,,,,499,,,,
norvège,1962- retrait,,,,,,578,,,,
Serbie,2009,2012,,,,,688,,,,
Pays-Bas,,,1957,,,1949,528,,,,
Danemark,,1961 -retrait 63- 1967,1973,,,1949,208,,,,
Irlande,,1961 -retrait 63- 1967,1973,,1999,,372,,,,
Royaume-Uni,,1961 -véto fr 63- 1967,1973,,,1949,826,,,,
Grèce,,1975,1981,,,1952,300,,,,
Espagne,1962-rejet,1977,1986,,,1982,724,,,,
Portugal,,1977,1986,,,1949,620,,,,
Suisse,,1992,1993,,1996,,756,,,,
Autriche,,1989,1995,,1995,,040,,,,
Finlande,,1992,1995,,1994,,246,,,,
Suède,,1991,1995,,1994,,752,,,,
Chypre,,1990,2004,,q,,196,,,,
Estonie,,1995,2004,,1994,2004,233,,,,
Hongrie,,1994,2004,,1994,1999,348,,,,
Lettonie,,1995,2004,,1994,2004,428,,,,
Lituanie,,1996,2004,,1994,2004,440,,,,
Malte,,1990,2004,,1995,,470,,,,
Pologne,,1994,2004,,1994,1999,616,,,,
République Tchèque,,1996,2004,,1994,1999,203,,,,
Slovaquie,,1995,2004,,1994,2004,703,,,,
Slovénie,,1996,2004,,1994,2004,705,,,,
Bulgarie,,1996,2007,,1994,2004,100,,,,
Roumanie,,1995,2007,,1994,2004,642,,,,
Croatie,2003,2004,2013,,2000,2009,191,,,,
Turquie,1987,2009,,,,,792,,,,